file,method_name,new_method_name,start_line,end_line,original_code,code,var
./sympy/core/basic.py,__eq__,compare_symbolic_equality,282,321,"def __eq__(self, other):
    """"""Return a boolean indicating whether a == b on the basis of
        their symbolic trees.

        This is the same as a.compare(b) == 0 but faster.

        Notes
        =====

        If a class that overrides __eq__() needs to retain the
        implementation of __hash__() from a parent class, the
        interpreter must be told this explicitly by setting __hash__ =
        <ParentClass>.__hash__. Otherwise the inheritance of __hash__()
        will be blocked, just as if __hash__ had been explicitly set to
        None.

        References
        ==========

        from http://docs.python.org/dev/reference/datamodel.html#object.__hash__
        """"""
    from sympy import Pow
    if self is other:
        return True
    if type(self) is not type(other):
        if isinstance(self, Pow) and self.exp == 1:
            return self.base == other
        if isinstance(other, Pow) and other.exp == 1:
            return self == other.base
        try:
            other = _sympify(other)
        except SympifyError:
            return False
        if type(self) != type(other):
            return False
    return self._hashable_content() == other._hashable_content()","def compare_symbolic_equality(self, other):
    """"""Return a boolean indicating whether a == b on the basis of
        their symbolic trees.

        This is the same as a.compare(b) == 0 but faster.

        Notes
        =====

        If a class that overrides __eq__() needs to retain the
        implementation of __hash__() from a parent class, the
        interpreter must be told this explicitly by setting __hash__ =
        <ParentClass>.__hash__. Otherwise the inheritance of __hash__()
        will be blocked, just as if __hash__ had been explicitly set to
        None.

        References
        ==========

        from http://docs.python.org/dev/reference/datamodel.html#object.__hash__
        """"""
    from sympy import Pow
    if self is other:
        return True
    if type(self) is not type(other):
        if isinstance(self, Pow) and self.exp == 1:
            return self.base == other
        if isinstance(other, Pow) and other.exp == 1:
            return self == other.base
        try:
            other = _sympify(other)
        except SympifyError:
            return False
        if type(self) != type(other):
            return False
    return self._hashable_content() == other._hashable_content()",[]
./sympy/core/basic.py,__ne__,symbolic_tree_is_different,323,332,"def __ne__(self, other):
    """"""a != b  -> Compare two symbolic trees and see whether they are different

           this is the same as:

             a.compare(b) != 0

           but faster
        """"""
    return not self.__eq__(other)","def symbolic_tree_is_different(self, other):
    """"""a != b  -> Compare two symbolic trees and see whether they are different

           this is the same as:

             a.compare(b) != 0

           but faster
        """"""
    return not self.__eq__(other)",[]
./sympy/core/basic.py,_has_matcher,get_equality_comparator,1181,1183,"def _has_matcher(self):
    """"""Helper for .has()""""""
    return self.__eq__","def get_equality_comparator(self):
    """"""Helper for .has()""""""
    return self.__eq__",[]
./sympy/core/exprtools.py,__ne__,is_not_equal_to,799,800,"def __ne__(self, other):
    return not self.__eq__(other)","def is_not_equal_to(self, other):
    return not self.__eq__(other)",[]
./sympy/core/exprtools.py,__ne__,is_not_equal,911,912,"def __ne__(self, other):
    return not self.__eq__(other)","def is_not_equal(self, other):
    return not self.__eq__(other)",[]
./sympy/core/numbers.py,__eq__,compare_numerical_equality_with_precision,1249,1276,"def __eq__(self, other):
    if isinstance(other, float):
        o = Float(other)
        try:
            ompf = o._as_mpf_val(self._prec)
        except ValueError:
            return False
        return bool(mlib.mpf_eq(self._mpf_, ompf))
    try:
        other = _sympify(other)
    except SympifyError:
        return False
    if isinstance(other, NumberSymbol):
        if other.is_irrational:
            return False
        return other.__eq__(self)
    if isinstance(other, Float):
        return bool(mlib.mpf_eq(self._mpf_, other._mpf_))
    if isinstance(other, Number):
        ompf = other._as_mpf_val(self._prec)
        return bool(mlib.mpf_eq(self._mpf_, ompf))
    return False","def compare_numerical_equality_with_precision(self, other):
    if isinstance(other, float):
        o = Float(other)
        try:
            ompf = o._as_mpf_val(self._prec)
        except ValueError:
            return False
        return bool(mlib.mpf_eq(self._mpf_, ompf))
    try:
        other = _sympify(other)
    except SympifyError:
        return False
    if isinstance(other, NumberSymbol):
        if other.is_irrational:
            return False
        return other.__eq__(self)
    if isinstance(other, Float):
        return bool(mlib.mpf_eq(self._mpf_, other._mpf_))
    if isinstance(other, Number):
        ompf = other._as_mpf_val(self._prec)
        return bool(mlib.mpf_eq(self._mpf_, ompf))
    return False","[{""var"": ""ompf"", ""rename"": ""other_mpf_value""}, {""var"": ""o"", ""rename"": ""converted_float""}]"
./sympy/core/numbers.py,__ne__,is_not_equal_to,1278,1279,"def __ne__(self, other):
    return not self.__eq__(other)","def is_not_equal_to(self, other):
    return not self.__eq__(other)",[]
./sympy/core/numbers.py,__gt__,perform_symbolic_greater_than_comparison,1281,1293,"def __gt__(self, other):
    try:
        other = _sympify(other)
    except SympifyError:
        raise TypeError('Invalid comparison %s > %s' % (self, other))
    if isinstance(other, NumberSymbol):
        return other.__le__(self)
    if other.is_comparable:
        other = other.evalf()
    if isinstance(other, Number) and other is not S.NaN:
        return _sympify(bool(mlib.mpf_gt(self._mpf_, other._as_mpf_val(self._prec))))
    return Expr.__gt__(self, other)","def perform_symbolic_greater_than_comparison(self, other):
    try:
        other = _sympify(other)
    except SympifyError:
        raise TypeError('Invalid comparison %s > %s' % (self, other))
    if isinstance(other, NumberSymbol):
        return other.__le__(self)
    if other.is_comparable:
        other = other.evalf()
    if isinstance(other, Number) and other is not S.NaN:
        return _sympify(bool(mlib.mpf_gt(self._mpf_, other._as_mpf_val(self._prec))))
    return Expr.__gt__(self, other)",[]
./sympy/core/numbers.py,__ge__,compare_with_greater_equal_logic,1295,1307,"def __ge__(self, other):
    try:
        other = _sympify(other)
    except SympifyError:
        raise TypeError('Invalid comparison %s >= %s' % (self, other))
    if isinstance(other, NumberSymbol):
        return other.__lt__(self)
    if other.is_comparable:
        other = other.evalf()
    if isinstance(other, Number) and other is not S.NaN:
        return _sympify(bool(mlib.mpf_ge(self._mpf_, other._as_mpf_val(self._prec))))
    return Expr.__ge__(self, other)","def compare_with_greater_equal_logic(self, other):
    try:
        other = _sympify(other)
    except SympifyError:
        raise TypeError('Invalid comparison %s >= %s' % (self, other))
    if isinstance(other, NumberSymbol):
        return other.__lt__(self)
    if other.is_comparable:
        other = other.evalf()
    if isinstance(other, Number) and other is not S.NaN:
        return _sympify(bool(mlib.mpf_ge(self._mpf_, other._as_mpf_val(self._prec))))
    return Expr.__ge__(self, other)",[]
./sympy/core/numbers.py,__lt__,compare_less_than_expr_or_number,1309,1321,"def __lt__(self, other):
    try:
        other = _sympify(other)
    except SympifyError:
        raise TypeError('Invalid comparison %s < %s' % (self, other))
    if isinstance(other, NumberSymbol):
        return other.__ge__(self)
    if other.is_real and other.is_number:
        other = other.evalf()
    if isinstance(other, Number) and other is not S.NaN:
        return _sympify(bool(mlib.mpf_lt(self._mpf_, other._as_mpf_val(self._prec))))
    return Expr.__lt__(self, other)","def compare_less_than_expr_or_number(self, other):
    try:
        other = _sympify(other)
    except SympifyError:
        raise TypeError('Invalid comparison %s < %s' % (self, other))
    if isinstance(other, NumberSymbol):
        return other.__ge__(self)
    if other.is_real and other.is_number:
        other = other.evalf()
    if isinstance(other, Number) and other is not S.NaN:
        return _sympify(bool(mlib.mpf_lt(self._mpf_, other._as_mpf_val(self._prec))))
    return Expr.__lt__(self, other)",[]
