file,method_name,new_method_name,start_line,end_line,original_code,code,var
./sympy/stats/crv_types.py,rv,create_single_continuous_probability_space,136,140,"def rv(symbol, cls, args):
    args = list(map(sympify, args))
    dist = cls(*args)
    dist.check(*args)
    return SingleContinuousPSpace(symbol, dist).value","def create_single_continuous_probability_space(symbol, cls, args):
    args = list(map(sympify, args))
    dist = cls(*args)
    dist.check(*args)
    return SingleContinuousPSpace(symbol, dist).value","[{""var"": ""dist"", ""rename"": ""distribution_instance""}]"
./sympy/stats/crv_types.py,Arcsin,create_arcsin_random_variable,156,199,"def Arcsin(name, a=0, b=1):
    """"""
    Create a Continuous Random Variable with an arcsin distribution.

    The density of the arcsin distribution is given by

    .. math::
        f(x) := \\frac{1}{\\pi\\sqrt{(x-a)(b-x)}}

    with :math:`x \\in [a,b]`. It must hold that :math:`-\\infty < a < b < \\infty`.

    Parameters
    ==========

    a : Real number, the left interval boundary
    b : Real number, the right interval boundary

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Arcsin, density
    >>> from sympy import Symbol, simplify

    >>> a = Symbol(""a"", real=True)
    >>> b = Symbol(""b"", real=True)
    >>> z = Symbol(""z"")

    >>> X = Arcsin(""x"", a, b)

    >>> density(X)(z)
    1/(pi*sqrt((-a + z)*(b - z)))

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Arcsine_distribution
    """"""
    return rv(name, ArcsinDistribution, (a, b))","def create_arcsin_random_variable(name, a=0, b=1):
    """"""
    Create a Continuous Random Variable with an arcsin distribution.

    The density of the arcsin distribution is given by

    .. math::
        f(x) := \\frac{1}{\\pi\\sqrt{(x-a)(b-x)}}

    with :math:`x \\in [a,b]`. It must hold that :math:`-\\infty < a < b < \\infty`.

    Parameters
    ==========

    a : Real number, the left interval boundary
    b : Real number, the right interval boundary

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Arcsin, density
    >>> from sympy import Symbol, simplify

    >>> a = Symbol(""a"", real=True)
    >>> b = Symbol(""b"", real=True)
    >>> z = Symbol(""z"")

    >>> X = Arcsin(""x"", a, b)

    >>> density(X)(z)
    1/(pi*sqrt((-a + z)*(b - z)))

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Arcsine_distribution
    """"""
    return rv(name, ArcsinDistribution, (a, b))",[]
./sympy/stats/crv_types.py,ChiSquared,create_chi_squared_random_variable,611,660,"def ChiSquared(name, k):
    """"""
    Create a continuous random variable with a Chi-squared distribution.

    The density of the Chi-squared distribution is given by

    .. math::
        f(x) := \\frac{1}{2^{\\frac{k}{2}}\\Gamma\\left(\\frac{k}{2}\\right)}
                x^{\\frac{k}{2}-1} e^{-\\frac{x}{2}}

    with :math:`x \\geq 0`.

    Parameters
    ==========

    k : A positive Integer, `k > 0`, the number of degrees of freedom

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import ChiSquared, density, E, variance
    >>> from sympy import Symbol, simplify, gammasimp, expand_func

    >>> k = Symbol(""k"", integer=True, positive=True)
    >>> z = Symbol(""z"")

    >>> X = ChiSquared(""x"", k)

    >>> density(X)(z)
    2**(-k/2)*z**(k/2 - 1)*exp(-z/2)/gamma(k/2)

    >>> gammasimp(E(X))
    k

    >>> simplify(expand_func(variance(X)))
    2*k

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Chi_squared_distribution
    .. [2] http://mathworld.wolfram.com/Chi-SquaredDistribution.html
    """"""
    return rv(name, ChiSquaredDistribution, (k,))","def create_chi_squared_random_variable(name, k):
    """"""
    Create a continuous random variable with a Chi-squared distribution.

    The density of the Chi-squared distribution is given by

    .. math::
        f(x) := \\frac{1}{2^{\\frac{k}{2}}\\Gamma\\left(\\frac{k}{2}\\right)}
                x^{\\frac{k}{2}-1} e^{-\\frac{x}{2}}

    with :math:`x \\geq 0`.

    Parameters
    ==========

    k : A positive Integer, `k > 0`, the number of degrees of freedom

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import ChiSquared, density, E, variance
    >>> from sympy import Symbol, simplify, gammasimp, expand_func

    >>> k = Symbol(""k"", integer=True, positive=True)
    >>> z = Symbol(""z"")

    >>> X = ChiSquared(""x"", k)

    >>> density(X)(z)
    2**(-k/2)*z**(k/2 - 1)*exp(-z/2)/gamma(k/2)

    >>> gammasimp(E(X))
    k

    >>> simplify(expand_func(variance(X)))
    2*k

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Chi_squared_distribution
    .. [2] http://mathworld.wolfram.com/Chi-SquaredDistribution.html
    """"""
    return rv(name, ChiSquaredDistribution, (k,))",[]
./sympy/stats/crv_types.py,Dagum,create_dagum_random_variable,674,720,"def Dagum(name, p, a, b):
    """"""
    Create a continuous random variable with a Dagum distribution.

    The density of the Dagum distribution is given by

    .. math::
        f(x) := \\frac{a p}{x} \\left( \\frac{\\left(\\tfrac{x}{b}\\right)^{a p}}
                {\\left(\\left(\\tfrac{x}{b}\\right)^a + 1 \\right)^{p+1}} \\right)

    with :math:`x > 0`.

    Parameters
    ==========

    p : Real number, `p > 0`, a shape
    a : Real number, `a > 0`, a shape
    b : Real number, `b > 0`, a scale

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Dagum, density
    >>> from sympy import Symbol, simplify

    >>> p = Symbol(""p"", positive=True)
    >>> b = Symbol(""b"", positive=True)
    >>> a = Symbol(""a"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = Dagum(""x"", p, a, b)

    >>> density(X)(z)
    a*p*(z/b)**(a*p)*((z/b)**a + 1)**(-p - 1)/z

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Dagum_distribution
    """"""
    return rv(name, DagumDistribution, (p, a, b))","def create_dagum_random_variable(name, p, a, b):
    """"""
    Create a continuous random variable with a Dagum distribution.

    The density of the Dagum distribution is given by

    .. math::
        f(x) := \\frac{a p}{x} \\left( \\frac{\\left(\\tfrac{x}{b}\\right)^{a p}}
                {\\left(\\left(\\tfrac{x}{b}\\right)^a + 1 \\right)^{p+1}} \\right)

    with :math:`x > 0`.

    Parameters
    ==========

    p : Real number, `p > 0`, a shape
    a : Real number, `a > 0`, a shape
    b : Real number, `b > 0`, a scale

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Dagum, density
    >>> from sympy import Symbol, simplify

    >>> p = Symbol(""p"", positive=True)
    >>> b = Symbol(""b"", positive=True)
    >>> a = Symbol(""a"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = Dagum(""x"", p, a, b)

    >>> density(X)(z)
    a*p*(z/b)**(a*p)*((z/b)**a + 1)**(-p - 1)/z

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Dagum_distribution
    """"""
    return rv(name, DagumDistribution, (p, a, b))",[]
./sympy/stats/crv_types.py,Erlang,create_erlang_random_variable,725,789,"def Erlang(name, k, l):
    """"""
    Create a continuous random variable with an Erlang distribution.

    The density of the Erlang distribution is given by

    .. math::
        f(x) := \\frac{\\lambda^k x^{k-1} e^{-\\lambda x}}{(k-1)!}

    with :math:`x \\in [0,\\infty]`.

    Parameters
    ==========

    k : Integer
    l : Real number, `\\lambda > 0`, the rate

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Erlang, density, cdf, E, variance
    >>> from sympy import Symbol, simplify, pprint

    >>> k = Symbol(""k"", integer=True, positive=True)
    >>> l = Symbol(""l"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = Erlang(""x"", k, l)

    >>> D = density(X)(z)
    >>> pprint(D, use_unicode=False)
     k  k - 1  -l*z
    l *z     *e
    ---------------
        gamma(k)

    >>> C = cdf(X, meijerg=True)(z)
    >>> pprint(C, use_unicode=False)
    /   -2*I*pi*k
    |k*e         *lowergamma(k, l*z)
    |-------------------------------  for z >= 0
    <          gamma(k + 1)
    |
    |               0                 otherwise
    \\

    >>> simplify(E(X))
    k/l

    >>> simplify(variance(X))
    k/l**2

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Erlang_distribution
    .. [2] http://mathworld.wolfram.com/ErlangDistribution.html
    """"""
    return rv(name, GammaDistribution, (k, 1 / l))","def create_erlang_random_variable(name, k, l):
    """"""
    Create a continuous random variable with an Erlang distribution.

    The density of the Erlang distribution is given by

    .. math::
        f(x) := \\frac{\\lambda^k x^{k-1} e^{-\\lambda x}}{(k-1)!}

    with :math:`x \\in [0,\\infty]`.

    Parameters
    ==========

    k : Integer
    l : Real number, `\\lambda > 0`, the rate

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Erlang, density, cdf, E, variance
    >>> from sympy import Symbol, simplify, pprint

    >>> k = Symbol(""k"", integer=True, positive=True)
    >>> l = Symbol(""l"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = Erlang(""x"", k, l)

    >>> D = density(X)(z)
    >>> pprint(D, use_unicode=False)
     k  k - 1  -l*z
    l *z     *e
    ---------------
        gamma(k)

    >>> C = cdf(X, meijerg=True)(z)
    >>> pprint(C, use_unicode=False)
    /   -2*I*pi*k
    |k*e         *lowergamma(k, l*z)
    |-------------------------------  for z >= 0
    <          gamma(k + 1)
    |
    |               0                 otherwise
    \\

    >>> simplify(E(X))
    k/l

    >>> simplify(variance(X))
    k/l**2

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Erlang_distribution
    .. [2] http://mathworld.wolfram.com/ErlangDistribution.html
    """"""
    return rv(name, GammaDistribution, (k, 1 / l))",[]
./sympy/stats/crv_types.py,Exponential,create_exponential_random_variable,820,886,"def Exponential(name, rate):
    """"""
    Create a continuous random variable with an Exponential distribution.

    The density of the exponential distribution is given by

    .. math::
        f(x) := \\lambda \\exp(-\\lambda x)

    with `x > 0`. Note that the expected value is `1/\\lambda`.

    Parameters
    ==========

    rate : A positive Real number, `\\lambda > 0`, the rate (or inverse scale/inverse mean)

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Exponential, density, cdf, E
    >>> from sympy.stats import variance, std, skewness
    >>> from sympy import Symbol

    >>> l = Symbol(""lambda"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = Exponential(""x"", l)

    >>> density(X)(z)
    lambda*exp(-lambda*z)

    >>> cdf(X)(z)
    Piecewise((1 - exp(-lambda*z), z >= 0), (0, True))

    >>> E(X)
    1/lambda

    >>> variance(X)
    lambda**(-2)

    >>> skewness(X)
    2

    >>> X = Exponential('x', 10)

    >>> density(X)(z)
    10*exp(-10*z)

    >>> E(X)
    1/10

    >>> std(X)
    1/10

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Exponential_distribution
    .. [2] http://mathworld.wolfram.com/ExponentialDistribution.html
    """"""
    return rv(name, ExponentialDistribution, (rate,))","def create_exponential_random_variable(name, rate):
    """"""
    Create a continuous random variable with an Exponential distribution.

    The density of the exponential distribution is given by

    .. math::
        f(x) := \\lambda \\exp(-\\lambda x)

    with `x > 0`. Note that the expected value is `1/\\lambda`.

    Parameters
    ==========

    rate : A positive Real number, `\\lambda > 0`, the rate (or inverse scale/inverse mean)

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Exponential, density, cdf, E
    >>> from sympy.stats import variance, std, skewness
    >>> from sympy import Symbol

    >>> l = Symbol(""lambda"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = Exponential(""x"", l)

    >>> density(X)(z)
    lambda*exp(-lambda*z)

    >>> cdf(X)(z)
    Piecewise((1 - exp(-lambda*z), z >= 0), (0, True))

    >>> E(X)
    1/lambda

    >>> variance(X)
    lambda**(-2)

    >>> skewness(X)
    2

    >>> X = Exponential('x', 10)

    >>> density(X)(z)
    10*exp(-10*z)

    >>> E(X)
    1/10

    >>> std(X)
    1/10

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Exponential_distribution
    .. [2] http://mathworld.wolfram.com/ExponentialDistribution.html
    """"""
    return rv(name, ExponentialDistribution, (rate,))",[]
./sympy/stats/crv_types.py,Frechet,create_frechet_random_variable,1045,1091,"def Frechet(name, a, s=1, m=0):
    """"""
    Create a continuous random variable with a Frechet distribution.

    The density of the Frechet distribution is given by

    .. math::
        f(x) := \\frac{\\alpha}{s} \\left(\\frac{x-m}{s}\\right)^{-1-\\alpha}
                 e^{-(\\frac{x-m}{s})^{-\\alpha}}

    with :math:`x \\geq m`.

    Parameters
    ==========

    a : Real number, :math:`a \\in \\left(0, \\infty\\right)` the shape
    s : Real number, :math:`s \\in \\left(0, \\infty\\right)` the scale
    m : Real number, :math:`m \\in \\left(-\\infty, \\infty\\right)` the minimum

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Frechet, density, E, std
    >>> from sympy import Symbol, simplify

    >>> a = Symbol(""a"", positive=True)
    >>> s = Symbol(""s"", positive=True)
    >>> m = Symbol(""m"", real=True)
    >>> z = Symbol(""z"")

    >>> X = Frechet(""x"", a, s, m)

    >>> density(X)(z)
    a*((-m + z)/s)**(-a - 1)*exp(-((-m + z)/s)**(-a))/s

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Fr%C3%A9chet_distribution
    """"""
    return rv(name, FrechetDistribution, (a, s, m))","def create_frechet_random_variable(name, a, s=1, m=0):
    """"""
    Create a continuous random variable with a Frechet distribution.

    The density of the Frechet distribution is given by

    .. math::
        f(x) := \\frac{\\alpha}{s} \\left(\\frac{x-m}{s}\\right)^{-1-\\alpha}
                 e^{-(\\frac{x-m}{s})^{-\\alpha}}

    with :math:`x \\geq m`.

    Parameters
    ==========

    a : Real number, :math:`a \\in \\left(0, \\infty\\right)` the shape
    s : Real number, :math:`s \\in \\left(0, \\infty\\right)` the scale
    m : Real number, :math:`m \\in \\left(-\\infty, \\infty\\right)` the minimum

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Frechet, density, E, std
    >>> from sympy import Symbol, simplify

    >>> a = Symbol(""a"", positive=True)
    >>> s = Symbol(""s"", positive=True)
    >>> m = Symbol(""m"", real=True)
    >>> z = Symbol(""z"")

    >>> X = Frechet(""x"", a, s, m)

    >>> density(X)(z)
    a*((-m + z)/s)**(-a - 1)*exp(-((-m + z)/s)**(-a))/s

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Fr%C3%A9chet_distribution
    """"""
    return rv(name, FrechetDistribution, (a, s, m))",[]
./sympy/stats/crv_types.py,Gamma,create_gamma_random_variable,1115,1184,"def Gamma(name, k, theta):
    """"""
    Create a continuous random variable with a Gamma distribution.

    The density of the Gamma distribution is given by

    .. math::
        f(x) := \\frac{1}{\\Gamma(k) \\theta^k} x^{k - 1} e^{-\\frac{x}{\\theta}}

    with :math:`x \\in [0,1]`.

    Parameters
    ==========

    k : Real number, `k > 0`, a shape
    theta : Real number, `\\theta > 0`, a scale

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Gamma, density, cdf, E, variance
    >>> from sympy import Symbol, pprint, simplify

    >>> k = Symbol(""k"", positive=True)
    >>> theta = Symbol(""theta"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = Gamma(""x"", k, theta)

    >>> D = density(X)(z)
    >>> pprint(D, use_unicode=False)
                      -z
                    -----
         -k  k - 1  theta
    theta  *z     *e
    ---------------------
           gamma(k)

    >>> C = cdf(X, meijerg=True)(z)
    >>> pprint(C, use_unicode=False)
    /            /     z  \\
    |k*lowergamma|k, -----|
    |            \\   theta/
    <----------------------  for z >= 0
    |     gamma(k + 1)
    |
    \\          0             otherwise

    >>> E(X)
    theta*gamma(k + 1)/gamma(k)

    >>> V = simplify(variance(X))
    >>> pprint(V, use_unicode=False)
           2
    k*theta


    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Gamma_distribution
    .. [2] http://mathworld.wolfram.com/GammaDistribution.html
    """"""
    return rv(name, GammaDistribution, (k, theta))","def create_gamma_random_variable(name, k, theta):
    """"""
    Create a continuous random variable with a Gamma distribution.

    The density of the Gamma distribution is given by

    .. math::
        f(x) := \\frac{1}{\\Gamma(k) \\theta^k} x^{k - 1} e^{-\\frac{x}{\\theta}}

    with :math:`x \\in [0,1]`.

    Parameters
    ==========

    k : Real number, `k > 0`, a shape
    theta : Real number, `\\theta > 0`, a scale

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import Gamma, density, cdf, E, variance
    >>> from sympy import Symbol, pprint, simplify

    >>> k = Symbol(""k"", positive=True)
    >>> theta = Symbol(""theta"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = Gamma(""x"", k, theta)

    >>> D = density(X)(z)
    >>> pprint(D, use_unicode=False)
                      -z
                    -----
         -k  k - 1  theta
    theta  *z     *e
    ---------------------
           gamma(k)

    >>> C = cdf(X, meijerg=True)(z)
    >>> pprint(C, use_unicode=False)
    /            /     z  \\
    |k*lowergamma|k, -----|
    |            \\   theta/
    <----------------------  for z >= 0
    |     gamma(k + 1)
    |
    \\          0             otherwise

    >>> E(X)
    theta*gamma(k + 1)/gamma(k)

    >>> V = simplify(variance(X))
    >>> pprint(V, use_unicode=False)
           2
    k*theta


    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Gamma_distribution
    .. [2] http://mathworld.wolfram.com/GammaDistribution.html
    """"""
    return rv(name, GammaDistribution, (k, theta))",[]
./sympy/stats/crv_types.py,GammaInverse,InverseGammaRandomVariable,1203,1253,"def GammaInverse(name, a, b):
    """"""
    Create a continuous random variable with an inverse Gamma distribution.

    The density of the inverse Gamma distribution is given by

    .. math::
        f(x) := \\frac{\\beta^\\alpha}{\\Gamma(\\alpha)} x^{-\\alpha - 1}
                \\exp\\left(\\frac{-\\beta}{x}\\right)

    with :math:`x > 0`.

    Parameters
    ==========

    a : Real number, `a > 0` a shape
    b : Real number, `b > 0` a scale

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import GammaInverse, density, cdf, E, variance
    >>> from sympy import Symbol, pprint

    >>> a = Symbol(""a"", positive=True)
    >>> b = Symbol(""b"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = GammaInverse(""x"", a, b)

    >>> D = density(X)(z)
    >>> pprint(D, use_unicode=False)
                -b
                ---
     a  -a - 1   z
    b *z      *e
    ---------------
       gamma(a)

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Inverse-gamma_distribution
    """"""
    return rv(name, GammaInverseDistribution, (a, b))","def InverseGammaRandomVariable(name, a, b):
    """"""
    Create a continuous random variable with an inverse Gamma distribution.

    The density of the inverse Gamma distribution is given by

    .. math::
        f(x) := \\frac{\\beta^\\alpha}{\\Gamma(\\alpha)} x^{-\\alpha - 1}
                \\exp\\left(\\frac{-\\beta}{x}\\right)

    with :math:`x > 0`.

    Parameters
    ==========

    a : Real number, `a > 0` a shape
    b : Real number, `b > 0` a scale

    Returns
    =======

    A RandomSymbol.

    Examples
    ========

    >>> from sympy.stats import GammaInverse, density, cdf, E, variance
    >>> from sympy import Symbol, pprint

    >>> a = Symbol(""a"", positive=True)
    >>> b = Symbol(""b"", positive=True)
    >>> z = Symbol(""z"")

    >>> X = GammaInverse(""x"", a, b)

    >>> D = density(X)(z)
    >>> pprint(D, use_unicode=False)
                -b
                ---
     a  -a - 1   z
    b *z      *e
    ---------------
       gamma(a)

    References
    ==========

    .. [1] http://en.wikipedia.org/wiki/Inverse-gamma_distribution
    """"""
    return rv(name, GammaInverseDistribution, (a, b))",[]
./sympy/stats/crv_types.py,Gumbel,create_gumbel_random_variable,1267,1307,"def Gumbel(name, beta, mu):
    """"""
    Create a Continuous Random Variable with Gumbel distribution.

    The density of the Gumbel distribution is given by

    .. math::
        f(x) := \\exp \\left( -exp \\left( x + \\exp \\left( -x \\right) \\right) \\right)

    with ::math 'x \\in [ - \\inf, \\inf ]'.

    Parameters
    ==========

    mu: Real number, 'mu' is a location
    beta: Real number, 'beta > 0' is a scale

    Returns
    ==========

    A RandomSymbol

    Examples
    ==========
    >>> from sympy.stats import Gumbel, density, E, variance
    >>> from sympy import Symbol, simplify, pprint
    >>> x = Symbol(""x"")
    >>> mu = Symbol(""mu"")
    >>> beta = Symbol(""beta"", positive=True)
    >>> X = Gumbel(""x"", beta, mu)
    >>> density(X)(x)
    exp(exp(-(-mu + x)/beta) - (-mu + x)/beta)/beta

    References
    ==========

    .. [1] http://mathworld.wolfram.com/GumbelDistribution.html
    .. [2] https://en.wikipedia.org/wiki/Gumbel_distribution

    """"""
    return rv(name, GumbelDistribution, (beta, mu))","def create_gumbel_random_variable(name, beta, mu):
    """"""
    Create a Continuous Random Variable with Gumbel distribution.

    The density of the Gumbel distribution is given by

    .. math::
        f(x) := \\exp \\left( -exp \\left( x + \\exp \\left( -x \\right) \\right) \\right)

    with ::math 'x \\in [ - \\inf, \\inf ]'.

    Parameters
    ==========

    mu: Real number, 'mu' is a location
    beta: Real number, 'beta > 0' is a scale

    Returns
    ==========

    A RandomSymbol

    Examples
    ==========
    >>> from sympy.stats import Gumbel, density, E, variance
    >>> from sympy import Symbol, simplify, pprint
    >>> x = Symbol(""x"")
    >>> mu = Symbol(""mu"")
    >>> beta = Symbol(""beta"", positive=True)
    >>> X = Gumbel(""x"", beta, mu)
    >>> density(X)(x)
    exp(exp(-(-mu + x)/beta) - (-mu + x)/beta)/beta

    References
    ==========

    .. [1] http://mathworld.wolfram.com/GumbelDistribution.html
    .. [2] https://en.wikipedia.org/wiki/Gumbel_distribution

    """"""
    return rv(name, GumbelDistribution, (beta, mu))",[]
